rank,feature,importance
1,Re (mm),0.29418102
2,As (mm^2),0.15602216
3,Ac (mm^2),0.10843935
4,e_bar,0.10598554
5,e/h,0.099162854
6,r0/h,0.04037542
7,te (mm),0.034971207
8,fc (MPa),0.029543178
9,fy (MPa),0.023057386
10,e1 (mm),0.021397192
11,ke,0.020254826
12,sigma_re (MPa),0.015245861
13,e1/e2,0.012477084
14,b/t,0.011405142
15,lambda_bar,0.011239163
16,xi,0.008042454
17,e2 (mm),0.0059275446
18,R (%),0.0022726136
