b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
180,180,0,5.8,0,395,62.09,2240,126,126,4583,0,31.03448276,28358.56,3906.88,95.00952587,6.333498232,0.333333333,0.876438271,8.777126219,43.01920964,0.542637482,0.7,1,4.182557037
200,200,0,4.77,0,465,52.19,600,0,0,3628,0,41.92872117,36275.0116,3633.9768,107.4555481,5.253926033,0.333333333,0.892565809,7.578562016,10.38047536,0.135564547,0,0,0
200,200,0,4.77,0,465,52.19,600,0,0,4118,0,41.92872117,36275.0116,3633.9768,107.4555481,5.253926033,0.333333333,0.892565809,7.578562016,10.38047536,0.135564547,0,0,0
200,200,50,4.77,0,465,52.19,600,0,0,4665,0.25,41.92872117,34328.84057,3833.824138,104.533293,5.682647186,0.647769329,0.995035803,16.37455083,10.87296961,0.145033628,0,0,0
200,200,50,4.77,0,465,52.19,600,0,0,5453,0.25,41.92872117,34328.84057,3833.824138,104.533293,5.682647186,0.647769329,0.995035803,16.37455083,10.87296961,0.145033628,0,0,0
200,200,0,7.65,0,425,52.19,600,0,0,4287,0,26.14379085,34114.09,5651.82,104.2058161,8.30143829,0.333333333,1.349137346,11.28571451,10.36185104,0.126961234,0,0,0
200,200,0,7.65,0,425,52.19,600,0,0,4982,0,26.14379085,34114.09,5651.82,104.2058161,8.30143829,0.333333333,1.349137346,11.28571451,10.36185104,0.126961234,0,0,0
200,200,50,7.65,0,425,52.19,600,0,0,5500,0.25,26.14379085,32283.85341,5967.601774,101.3719375,8.972144148,0.647769329,1.505275874,24.36620012,10.88561096,0.136620995,0,0,0
200,200,50,7.65,0,425,52.19,600,0,0,5926,0.25,26.14379085,32283.85341,5967.601774,101.3719375,8.972144148,0.647769329,1.505275874,24.36620012,10.88561096,0.136620995,0,0,0
200,200,0,7.72,0,660,52.19,600,0,0,6099,0,25.90673575,34062.3936,5699.2128,104.1268295,8.374336711,0.333333333,2.115905897,17.69336572,10.36129033,0.145690918,0,0,0
200,200,0,7.72,0,660,52.19,600,0,0,6730,0,25.90673575,34062.3936,5699.2128,104.1268295,8.374336711,0.333333333,2.115905897,17.69336572,10.36129033,0.145690918,0,0,0
200,200,50,7.72,0,660,52.19,600,0,0,7168,0.25,25.90673575,32234.93054,6017.76811,101.295099,9.050776157,0.647769329,2.360833442,38.19985442,10.8857879,0.157665453,0,0,0
200,200,50,7.72,0,660,52.19,600,0,0,7977,0.25,25.90673575,32234.93054,6017.76811,101.295099,9.050776157,0.647769329,2.360833442,38.19985442,10.8857879,0.157665453,0,0,0
200,100,0,3,0,444,32.42,1680,10,10,2030,0,66.66666667,18236,1728,76.18857581,3.528038313,0.333333333,1.297729312,6.853385364,58.14450633,0.663353086,0.1,1,0.59892
200,100,0,3,0,444,32.42,1680,30,30,1909,0,66.66666667,18236,1728,76.18857581,3.528038313,0.333333333,1.297729312,6.853385364,58.14450633,0.663353086,0.3,1,1.79676
200,100,0,3,0,444,32.42,1680,50,50,1466,0,66.66666667,18236,1728,76.18857581,3.528038313,0.333333333,1.297729312,6.853385364,58.14450633,0.663353086,0.5,1,2.9946
