csv_row_num,actual,predicted,error,abs_error,rel_error_pct
2449,3430.5,3041.5642,388.935791,388.935791,11.33758318
3905,1372,1760.8303,-388.8303223,388.8303223,-28.3404025
1585,5493,5105.441,387.559082,387.559082,7.055508502
1814,2961.3,2576.7341,384.5658691,384.5658691,12.98638669
3125,2415,2037.6436,377.3564453,377.3564453,15.62552569
3262,2940,2563.6746,376.3254395,376.3254395,12.80018502
3277,7742,7368.738,373.262207,373.262207,4.82126333
492,1700,2071.0833,-371.083252,371.083252,-21.82842659
2859,5906,6276.459,-370.4589844,370.4589844,-6.272586935
3971,7304,7674.4355,-370.4355469,370.4355469,-5.071680543
2616,628,996.74384,-368.7438354,368.7438354,-58.71717125
488,3319,2952.7698,366.2302246,366.2302246,11.03435446
1705,5288,4923.6826,364.3173828,364.3173828,6.889511778
890,735,1095.3281,-360.328125,360.328125,-49.02423469
1119,4094,4443.144,-349.144043,349.144043,-8.528188641
3988,2671,2325.5056,345.4943848,345.4943848,12.93502002
2633,2474.55,2129.4155,345.1344727,345.1344727,13.94736306
1075,1912,2252.4124,-340.4123535,340.4123535,-17.80399338
412,1207.53,1547.416,-339.8860156,339.8860156,-28.14721089
1294,8997.38,8657.837,339.5430859,339.5430859,3.77379955
445,1980.7,2320.0154,-339.3153809,339.3153809,-17.131084
3307,2100,1761.0664,338.9335938,338.9335938,16.13969494
2842,15827,15490.0625,336.9375,336.9375,2.128877867
3994,3134,2797.3093,336.6906738,336.6906738,10.74316126
3910,2381,2045.4431,335.5568848,335.5568848,14.0931073
1813,3214.8,2880.8408,333.9591797,333.9591797,10.38817904
3813,15000,14667.096,332.9042969,332.9042969,2.219361979
2055,2487,2817.6228,-330.6228027,330.6228027,-13.29404112
987,848.4,1177.7578,-329.3578125,329.3578125,-38.82105286
2795,3483,3156.0078,326.9921875,326.9921875,9.388233922
1874,2622,2295.7039,326.2961426,326.2961426,12.44455159
65,2550,2875.4048,-325.4047852,325.4047852,-12.76097197
1730,1484,1159.259,324.7409668,324.7409668,21.88281447
1725,3164.4,2839.922,324.4778809,324.4778809,10.25400963
410,1077.62,1401.341,-323.7209424,323.7209424,-30.04036139
2027,4070.5,3749.2783,321.2216797,321.2216797,7.891455096
2617,1411,1090.788,320.2120361,320.2120361,22.69397846
2914,2301,2621.0837,-320.0837402,320.0837402,-13.91063626
1505,9424.8,9104.983,319.8166016,319.8166016,3.3933516
2635,1332.82,1013.67163,319.1483691,319.1483691,23.94534664
2832,9609,9923.468,-314.4677734,314.4677734,-3.272637875
53,1356,1670.2915,-314.2915039,314.2915039,-23.17783952
459,1619,1305.1426,313.8574219,313.8574219,19.38588152
578,1632.04,1945.432,-313.3920068,313.3920068,-19.20247095
3551,1572.28,1881.8264,-309.546416,309.546416,-19.68774112
75,3350,3042.5188,307.4812012,307.4812012,9.178543319
2017,3169,2863.9597,305.0402832,305.0402832,9.625758384
1884,2808,3111.7456,-303.7456055,303.7456055,-10.81715119
2829,6860,7159.8584,-299.8583984,299.8583984,-4.37111368
1206,2842,3140.71,-298.7099609,298.7099609,-10.51055457
2119,1523.9,1226.3953,297.5047363,297.5047363,19.52258917
311,8432,8134.938,297.0620117,297.0620117,3.523031448
1628,1130,1426.2474,-296.2474365,296.2474365,-26.2165873
2987,2500.5,2793.4146,-292.9145508,292.9145508,-11.71423918
2114,1186.2,896.3524,289.847583,289.847583,24.43496738
104,1307,1596.8058,-289.8057861,289.8057861,-22.17335778
2391,2684,2396.7637,287.2363281,287.2363281,10.7018006
3146,1322,1607.7266,-285.7265625,285.7265625,-21.61320443
2270,1123,1408.7195,-285.7194824,285.7194824,-25.44251847
3882,1854,2134.5493,-280.5493164,280.5493164,-15.13210984
205,797.73,1078.028,-280.2979541,280.2979541,-35.13694535
1166,1964.6,2243.5754,-278.9754395,278.9754395,-14.20011399
1541,2357.82,2082.43,275.3900684,275.3900684,11.67985972
2717,6868,6593.543,274.4570313,274.4570313,3.996171101
1274,11350,11623.824,-273.8242188,273.8242188,-2.412548183
310,7193,6921.5156,271.484375,271.484375,3.774285764
992,10869,10598.391,270.609375,270.609375,2.489735716
3795,2200,2469.256,-269.2561035,269.2561035,-12.2389138
3424,1148.1,880.32196,267.7780396,267.7780396,23.32358153
1699,5032,4765.702,266.2978516,266.2978516,5.29208767
1235,1882.4,1616.4075,265.9925293,265.9925293,14.13049986
2883,3172.9,2908.661,264.2391113,264.2391113,8.327999979
536,3035,2771.6538,263.3461914,263.3461914,8.676975005
891,833,1095.3281,-262.328125,262.328125,-31.49197179
2047,2094,2354.156,-260.1560059,260.1560059,-12.42387803
2754,7569,7310.9956,258.0043945,258.0043945,3.408698567
194,1331.9,1074.0704,257.8295654,257.8295654,19.35802729
2821,5390,5646.995,-256.9951172,256.9951172,-4.767998464
1719,2425.2,2171.627,253.5730469,253.5730469,10.45575816
2079,1944,1690.7009,253.2990723,253.2990723,13.02978767
3280,4214,3964.7505,249.2495117,249.2495117,5.914796196
1629,1303,1548.5734,-245.5733643,245.5733643,-18.84676625
16,1200,1444.4757,-244.475708,244.475708,-20.37297567
563,1517.45,1278.1685,239.281543,239.281543,15.76866078
480,3054,2815.2698,238.7302246,238.7302246,7.816968717
2794,3357,3118.3855,238.614502,238.614502,7.107968482
2625,810,1047.8127,-237.8127441,237.8127441,-29.35959804
1584,2069,2306.205,-237.2050781,237.2050781,-11.46472103
1734,1484,1247.6737,236.3262939,236.3262939,15.92495242
3560,1328.1,1093.9232,234.1767822,234.1767822,17.6324661
1212,4076.76,3846.251,230.5090234,230.5090234,5.654221083
3137,1789,1558.8433,230.1567383,230.1567383,12.86510555
3633,2119.6,2349.3137,-229.7137207,229.7137207,-10.83759769
216,1420,1190.5305,229.4694824,229.4694824,16.15982271
1280,4065.79,4295.028,-229.237832,229.237832,-5.63821132
2340,2450,2222.5076,227.4924316,227.4924316,9.285405373
575,2171.38,1945.432,225.9479932,225.9479932,10.40573244
3426,1016,790.78955,225.2104492,225.2104492,22.1663828
3079,1904,2126.9211,-222.9211426,222.9211426,-11.7080432
1106,3721,3498.0793,222.9206543,222.9206543,5.990880255
2155,3646,3426.7354,219.2646484,219.2646484,6.013841153
2824,4871,4652.4907,218.5092773,218.5092773,4.485922343
3707,2560,2777.8577,-217.857666,217.857666,-8.510065079
370,1254.2,1471.461,-217.2610596,217.2610596,-17.32268056
2168,850,632.9795,217.0205078,217.0205078,25.53182445
3023,1639,1855.1036,-216.1036377,216.1036377,-13.18509077
2157,3722,3506.1284,215.871582,215.871582,5.799881301
3744,4944,5157.1313,-213.1313477,213.1313477,-4.310909135
3972,2382,2594.4038,-212.4038086,212.4038086,-8.917036465
452,2717.5,2923.6956,-206.1955566,206.1955566,-7.587692977
2988,2999,2793.4146,205.5854492,205.5854492,6.855133352
707,4433,4227.4844,205.515625,205.515625,4.636039364
2346,1646.4,1441.3171,205.0828613,205.0828613,12.45644201
2271,1284,1488.7422,-204.7421875,204.7421875,-15.94565323
2875,2530.3,2733.6775,-203.3774902,203.3774902,-8.037682893
1270,12340.91,12544.139,-203.2286719,203.2286719,-1.64678838
1615,1781,1578.6178,202.3822021,202.3822021,11.3634027
2624,980,778.30707,201.6929321,201.6929321,20.58091144
3883,1933,2134.5493,-201.5493164,201.5493164,-10.42676236
154,1468,1668.1838,-200.1838379,200.1838379,-13.63650122
1618,1571,1371.8049,199.1950684,199.1950684,12.67950785
1190,4912,5109.518,-197.5180664,197.5180664,-4.021133274
4073,4550,4352.903,197.097168,197.097168,4.331805889
3343,1788,1591.1411,196.8588867,196.8588867,11.01000485
2864,1405,1601.4305,-196.430542,196.430542,-13.98082149
1539,1774.48,1970.5353,-196.0552783,196.0552783,-11.04860457
2863,1406.4,1601.4305,-195.030542,195.030542,-13.86735936
2993,3817,3622.0437,194.9562988,194.9562988,5.10757922
2701,1360,1553.6569,-193.6568604,193.6568604,-14.23947503
3621,2796.7,2607.4424,189.2576172,189.2576172,6.767176214
25,1700,1887.6833,-187.6833496,187.6833496,-11.04019704
1130,5055,5242.4224,-187.4223633,187.4223633,-3.707662973
2778,2497,2310.197,186.8029785,186.8029785,7.481096456
1116,1537,1350.3633,186.6367188,186.6367188,12.1429225
2120,1411,1226.3953,184.6047363,184.6047363,13.08325559
2095,997,814.3453,182.6547241,182.6547241,18.32043371
307,6848,6666.1465,181.8535156,181.8535156,2.655571198
3054,2497,2315.2314,181.7685547,181.7685547,7.279477561
2188,830,649.6128,180.387207,180.387207,21.73339844
1888,8233,8055.529,177.4711914,177.4711914,2.155607815
2994,3446.5,3622.0437,-175.5437012,175.5437012,-5.09339043
58,2700,2875.4048,-175.4047852,175.4047852,-6.496473524
2894,1482,1656.9163,-174.9162598,174.9162598,-11.80271658
2285,1880,2053.6396,-173.6396484,173.6396484,-9.236151513
1317,1140,1313.3363,-173.3363037,173.3363037,-15.20493892
569,1772.79,1945.432,-172.6420068,172.6420068,-9.738435282
3024,1758,1928.7467,-170.7467041,170.7467041,-9.712554272
3425,1038,867.60254,170.3974609,170.3974609,16.41594036
413,1218.78,1387.6703,-168.8902881,168.8902881,-13.85732356
2489,2043,1874.2084,168.791626,168.791626,8.261949387
8,3780,3611.6995,168.3005371,168.3005371,4.452395162
966,869,1036.9775,-167.9775391,167.9775391,-19.32998148
1535,1959.86,1792.051,167.8089746,167.8089746,8.56229397
2181,695,528.1955,166.8045044,166.8045044,24.00064811
570,1780.79,1945.432,-164.6420068,164.6420068,-9.245447629
3872,1962,2126.6016,-164.6015625,164.6015625,-8.389478211
596,1284,1120.0116,163.9884033,163.9884033,12.7716825
3660,1738,1901.3306,-163.3305664,163.3305664,-9.397616019
2704,920,1083.0443,-163.0443115,163.0443115,-17.72220777
1057,1876,2038.9257,-162.9256592,162.9256592,-8.68473663
2179,690,528.1955,161.8045044,161.8045044,23.44992817
1244,534,695.4642,-161.4641724,161.4641724,-30.2367364
731,1291.24,1130.7936,160.4464209,160.4464209,12.4257629
1875,3199,3039.645,159.3549805,159.3549805,4.981399827
3559,1260.8,1101.9268,158.8732422,158.8732422,12.60098685
2021,2706,2863.9597,-157.9597168,157.9597168,-5.837387908
2383,817,659.2584,157.7415771,157.7415771,19.30741458
465,2509,2351.554,157.4460449,157.4460449,6.275250894
1368,369.8,526.7485,-156.9484741,156.9484741,-42.44144784
368,3500,3653.5408,-153.5407715,153.5407715,-4.386879185
2123,1011,1163.9888,-152.9887695,152.9887695,-15.13242033
1820,1776.6,1624.7634,151.8365723,151.8365723,8.546469226
196,943.3,1095.1068,-151.8068115,151.8068115,-16.09316352
4071,3011,3161.258,-150.2580566,150.2580566,-4.990304106
2357,3450,3599.8423,-149.8422852,149.8422852,-4.343254642
2900,879.2,1028.4364,-149.2364014,149.2364014,-16.97411299
3862,950,1099.0443,-149.0443115,149.0443115,-15.6888749
1452,1128.74,980.0147,148.7252905,148.7252905,13.17622221
2670,1197.1,1345.7236,-148.6236328,148.6236328,-12.41530639
656,669.2,817.45966,-148.2596558,148.2596558,-22.15476028
557,1131.61,1278.1685,-146.558457,146.558457,-12.95132219
3036,1273,1419.5101,-146.5101318,146.5101318,-11.50904413
417,1961.67,2107.62,-145.9501172,145.9501172,-7.440095286
2372,4657,4511.409,145.5908203,145.5908203,3.126279156
1604,1924,1778.9159,145.0841064,145.0841064,7.540753973
2287,2420,2275.6228,144.3771973,144.3771973,5.965999887
1620,1516,1371.8049,144.1950684,144.1950684,9.511548045
3357,850,705.8952,144.1047974,144.1047974,16.95350557
3022,1711,1855.1036,-144.1036377,144.1036377,-8.422188059
859,1360,1503.3778,-143.3778076,143.3778076,-10.54248585
720,1570,1426.876,143.1240234,143.1240234,9.116179837
3080,1984,2126.9211,-142.9211426,142.9211426,-7.203686622
1421,1999.5,1856.6858,142.814209,142.814209,7.142496073
3385,2324,2181.6726,142.3273926,142.3273926,6.124242366
291,1362,1220.8885,141.1114502,141.1114502,10.36060574
3123,2172,2031.0985,140.9014893,140.9014893,6.487177222
3037,1800,1940.6344,-140.6343994,140.6343994,-7.81302219
3309,1900,1759.6024,140.397583,140.397583,7.389346474
1795,2070,2209.1523,-139.1523438,139.1523438,-6.722335447
180,1042,1181.0206,-139.0206299,139.0206299,-13.34171112
2352,1695.4,1834.2429,-138.8429199,138.8429199,-8.18939011
440,1835,1696.2714,138.7286377,138.7286377,7.560143744
657,2061.7,1923.9784,137.7216064,137.7216064,6.680002253
2126,1301,1163.9888,137.0112305,137.0112305,10.53122448
3555,1649.36,1786.2949,-136.9349219,136.9349219,-8.302306463
3014,4301,4164.254,136.7460938,136.7460938,3.179402319
2653,983.3,1119.1713,-135.8712646,135.8712646,-13.81788515
1110,2221,2085.394,135.605957,135.605957,6.105626161
2392,3579,3713.947,-134.9470215,134.9470215,-3.770523093
1263,4678.36,4812.649,-134.2889258,134.2889258,-2.870427367
389,1690,1555.7607,134.2392578,134.2392578,7.94315135
1063,2142,2275.6934,-133.6933594,133.6933594,-6.241520046
3592,1351,1483.6632,-132.663208,132.663208,-9.819630497
1290,7133.33,7265.975,-132.6450977,132.6450977,-1.859511584
3010,2574,2442.223,131.7770996,131.7770996,5.119545439
2281,1532,1663.0333,-131.0333252,131.0333252,-8.553089112
1300,2241.38,2110.6704,130.7095898,130.7095898,5.831656829
1973,1180.5,1311.1907,-130.6906738,130.6906738,-11.07078982
3735,4168,4037.3152,130.6848145,130.6848145,3.135432209
1990,1655.7,1525.4187,130.2812988,130.2812988,7.868653671
723,929,798.882,130.117981,130.117981,14.00624122
3738,4492,4621.8,-129.7998047,129.7998047,-2.88957713
2723,6078,5948.2207,129.7792969,129.7792969,2.135230288
1239,174.74,303.2768,-128.5367944,128.5367944,-73.5588843
1939,578,449.7508,128.2492065,128.2492065,22.18844404
82,2376.6,2248.4924,128.1075684,128.1075684,5.39037147
1043,4192,4064.0317,127.9682617,127.9682617,3.052677999
1616,1706,1578.6178,127.3822021,127.3822021,7.466717594
2016,3605.5,3479.0754,126.4245605,126.4245605,3.506436293
151,3003,2877.004,125.9960938,125.9960938,4.195674118
2404,536,661.91156,-125.9115601,125.9115601,-23.4909627
3417,734,608.2007,125.7993164,125.7993164,17.13887144
159,1724,1849.7402,-125.7402344,125.7402344,-7.293517075
1001,3203,3077.4143,125.5856934,125.5856934,3.920877095
63,2750,2875.4048,-125.4047852,125.4047852,-4.560174006
1176,1435,1310.3245,124.6755371,124.6755371,8.688190739
2382,273,397.62537,-124.6253662,124.6253662,-45.65031729
3626,2675.3,2550.7065,124.593457,124.593457,4.657177028
1828,2256,2131.4443,124.5556641,124.5556641,5.5210844
864,968.47,1093.0095,-124.5395215,124.5395215,-12.85940932
207,953.87,1078.028,-124.1579541,124.1579541,-13.0162343
529,702.5,826.5591,-124.059082,124.059082,-17.65965581
2706,968.47,1092.2489,-123.7789014,123.7789014,-12.780871
1358,5041.7,4918.004,123.6960937,123.6960937,2.453460018
2931,686.3264,809.8055,-123.479081,123.479081,-17.99130573
2448,2620.6,2743.563,-122.9629883,122.9629883,-4.692169285
2366,4340,4462.8784,-122.878418,122.878418,-2.831299953
2001,1487.2,1365.0066,122.1934082,122.1934082,8.216339981
134,957.1,835.52814,121.5718628,121.5718628,12.70210665
3093,1990,2110.797,-120.7971191,120.7971191,-6.070206992
812,1147,1027.5128,119.4871826,119.4871826,10.41736553
2699,1530,1648.3103,-118.3103027,118.3103027,-7.732699525
441,1664,1545.7692,118.230835,118.230835,7.105218447
158,2246,2128.7668,117.2331543,117.2331543,5.219641776
3000,2362,2478.6096,-116.6096191,116.6096191,-4.936901742
2767,1710,1593.5762,116.4238281,116.4238281,6.808411001
1643,2212,2327.2183,-115.2182617,115.2182617,-5.208782175
1733,1134,1247.6737,-113.6737061,113.6737061,-10.02413634
1762,1038,1151.6365,-113.6364746,113.6364746,-10.94763725
281,2200,2086.3757,113.6242676,113.6242676,5.164739435
934,8799,8912.602,-113.6015625,113.6015625,-1.291073559
735,2513.35,2400.2373,113.1126953,113.1126953,4.500475275
404,3744,3857.0503,-113.050293,113.050293,-3.019505688
3646,1601,1488.2448,112.755249,112.755249,7.042801313
722,1131,1018.7076,112.2924194,112.2924194,9.928595883
348,1641,1753.0115,-112.0114746,112.0114746,-6.825805887
1809,810,920.77814,-110.7781372,110.7781372,-13.67631324
297,1523,1412.2571,110.7429199,110.7429199,7.271367034
1807,982,873.0836,108.9163818,108.9163818,11.09128125
28,3659,3765.992,-106.9919434,106.9919434,-2.924076069
980,1958.1,2064.804,-106.7039551,106.7039551,-5.449361885
939,3150,3256.3762,-106.3762207,106.3762207,-3.377022879
1265,6195.12,6301.216,-106.0958203,106.0958203,-1.712570867
3856,1577,1683.001,-106.0009766,106.0009766,-6.721685261
1112,1166,1271.7444,-105.7443848,105.7443848,-9.068986687
1741,501.6,396.6314,104.9685913,104.9685913,20.92675265
431,5212,5316.758,-104.7578125,104.7578125,-2.009935006
1614,1639,1743.5887,-104.5887451,104.5887451,-6.381253515
1959,1748.2,1645.7303,102.4696533,102.4696533,5.861437668
1044,4166,4064.0317,101.9682617,101.9682617,2.447629902
3625,2833.1,2934.8684,-101.7684082,101.7684082,-3.592121994
2661,1379.4,1479.6367,-100.2367187,100.2367187,-7.266689775
3536,1420.7,1320.5907,100.1093018,100.1093018,7.046477212
1086,884,983.5131,-99.51312256,99.51312256,-11.25714056
2088,415,514.4036,-99.40362549,99.40362549,-23.95268084
2115,1325.1,1226.3953,98.70473633,98.70473633,7.448851885
1833,1394,1295.5991,98.40087891,98.40087891,7.058886579
809,1465,1366.829,98.17102051,98.17102051,6.70109355
473,2993,2895.113,97.88696289,97.88696289,3.27053
1020,2390,2487.3342,-97.33422852,97.33422852,-4.072561863
3940,649,745.8911,-96.89111328,96.89111328,-14.92929326
3311,1700,1603.5586,96.44140625,96.44140625,5.673023897
1093,891,987.2839,-96.28387451,96.28387451,-10.80627099
3710,4117,4023.125,93.875,93.875,2.280179743
1893,3534,3440.7937,93.20629883,93.20629883,2.637416492
1590,4721,4628.3457,92.65429688,92.65429688,1.962598959
2684,1156,1248.0181,-92.01806641,92.01806641,-7.960040347
1422,1948.7,1856.6858,92.01420898,92.01420898,4.721825267
360,2950,2858.6987,91.30126953,91.30126953,3.094958289
298,1346,1437.0704,-91.07043457,91.07043457,-6.76600554
2483,1017.67,927.0432,90.62678711,90.62678711,8.905321677
1644,2474,2383.409,90.59106445,90.59106445,3.661724513
1031,3297.2,3206.7197,90.48027344,90.48027344,2.744154842
1841,1005,915.15784,89.84216309,89.84216309,8.939518715
1338,1869,1779.1838,89.81616211,89.81616211,4.805573147
3873,2273,2183.5605,89.43945313,89.43945313,3.934863754
607,3418.6,3508.0383,-89.43833008,89.43833008,-2.61622682
463,1394,1305.1426,88.85742188,88.85742188,6.374277036
1049,1679,1767.5626,-88.56262207,88.56262207,-5.274724364
19,1800,1887.2333,-87.23327637,87.23327637,-4.846293132
2350,579.2,665.86487,-86.66486816,86.66486816,-14.96285707
3706,3102,3015.9097,86.09033203,86.09033203,2.775316958
2106,1470.2,1384.1975,86.00249023,86.00249023,5.84971366
1617,1664,1578.6178,85.38220215,85.38220215,5.131141956
2888,1491,1406.0397,84.96032715,84.96032715,5.698211076
763,1265.2,1180.554,84.64604492,84.64604492,6.690329191
3566,1964.2,1879.6156,84.58439941,84.58439941,4.306302791
1400,1108.3,1192.8279,-84.52788086,84.52788086,-7.626805094
754,1427.6,1343.4027,84.19729004,84.19729004,5.897820821
951,1580,1663.9153,-83.9152832,83.9152832,-5.311093874
3018,1289,1372.4049,-83.40490723,83.40490723,-6.470512585
2342,1332.8,1249.5067,83.29328613,83.29328613,6.249496258
1450,896.74,980.0147,-83.27470947,83.27470947,-9.286382839
2315,933,1015.9019,-82.9019165,82.9019165,-8.885521597
181,4401,4483.752,-82.75195313,82.75195313,-1.880298867
1070,2170,2252.4124,-82.41235352,82.41235352,-3.797804309
2405,445,527.3393,-82.33929443,82.33929443,-18.50321223
2944,2421.0464,2503.2295,-82.18309219,82.18309219,-3.394527762
1731,913,830.87976,82.12023926,82.12023926,8.994549754
2305,1434,1515.5873,-81.58728027,81.58728027,-5.689489559
3507,1506,1425.3923,80.60766602,80.60766602,5.352434662
3888,1662,1742.1842,-80.1842041,80.1842041,-4.824561017
2786,9085,9004.977,80.0234375,80.0234375,0.880830352
222,3150,3070.0012,79.9987793,79.9987793,2.539643787
1851,871,950.8847,-79.88470459,79.88470459,-9.171607875
3029,1396,1475.5967,-79.59667969,79.59667969,-5.701767886
2537,423.4,502.66263,-79.26262817,79.26262817,-18.72050736
2197,449,528.1955,-79.19549561,79.19549561,-17.63819501
4080,3400,3321.7808,78.21923828,78.21923828,2.300565832
3941,682,759.33606,-77.33605957,77.33605957,-11.33959818
2104,2022.7,1945.6232,77.07683105,77.07683105,3.810591341
2992,3699,3622.0437,76.95629883,76.95629883,2.080462255
2097,908,984.1009,-76.10089111,76.10089111,-8.381155409
2323,1419,1343.2073,75.79272461,75.79272461,5.34127728
871,637,712.71686,-75.71685791,75.71685791,-11.88647691
2327,913.4,838.1358,75.26419678,75.26419678,8.240004026
881,1029,954.1636,74.83642578,74.83642578,7.272733312
1565,4721,4795.6973,-74.69726563,74.69726563,-1.582233968
265,1287,1212.7179,74.28210449,74.28210449,5.771725291
2516,1438.8,1513.0276,-74.22758789,74.22758789,-5.158992764
3598,1749,1674.8607,74.13928223,74.13928223,4.238952672
503,1343.8,1269.7217,74.07832031,74.07832031,5.512600113
3843,1960,2033.7073,-73.70727539,73.70727539,-3.760575275
